"31","2301 Edwards St, Saint Louis, MO, ","Match","Exact","2301 EDWARDS ST, SAINT LOUIS, MO, 63110","-90.275617185748,38.613482237927","107594708","R"
"32","5223 Elizabeth Ave, Saint Louis, MO, ","Match","Exact","5223 ELIZABETH AVE, SAINT LOUIS, MO, 63110","-90.274310786184,38.613449858654","605121303","R"
"33","5235 Elizabeth Ave, Saint Louis, MO, ","Match","Exact","5235 ELIZABETH AVE, SAINT LOUIS, MO, 63110","-90.274490962744,38.613469187952","605121303","R"
"34","5431 Elizabeth Ave, Saint Louis, MO, ","Match","Exact","5431 ELIZABETH AVE, SAINT LOUIS, MO, 63110","-90.279002103135,38.613548473251","605121178","R"
"35","5447 Elizabeth Ave, Saint Louis, MO, ","Match","Exact","5447 ELIZABETH AVE, SAINT LOUIS, MO, 63110","-90.279542450947,38.613610109918","605121178","R"
"36","2011 Lilly Ave, Saint Louis, MO, ","Match","Exact","2011 LILLY AVE, SAINT LOUIS, MO, 63110","-90.279395368725,38.617150029372","605122372","R"
"37","2023 Macklind Ave, Saint Louis, MO, ","Match","Exact","2023 MACKLIND AVE, SAINT LOUIS, MO, 63110","-90.277244711275,38.616618151679","605122319","R"
"38","2233 Macklind Ave, Saint Louis, MO, ","Match","Exact","2233 MACKLIND AVE, SAINT LOUIS, MO, 63110","-90.277765478574,38.61402150965","107594700","R"
"39","2315 Macklind Ave, Saint Louis, MO, ","Match","Exact","2315 MACKLIND AVE, SAINT LOUIS, MO, 63110","-90.277936500206,38.613208657548","107594699","R"
"40","2336 Macklind Ave, Saint Louis, MO, ","Match","Exact","2336 MACKLIND AVE, SAINT LOUIS, MO, 63110","-90.277818417476,38.613062252121","107594699","L"
"41","4941 Magnolia Ave, Saint Louis, MO, ","Match","Exact","4941 MAGNOLIA AVE, SAINT LOUIS, MO, 63139","-90.269953994535,38.609105114704","605123640","R"
"42","1935 Marconi Ave, Saint Louis, MO, ","Match","Exact","1935 MARCONI AVE, SAINT LOUIS, MO, 63110","-90.272598123061,38.617237576293","605118932","R"
"43","2232 Marconi Ave, Saint Louis, MO, ","Match","Exact","2232 MARCONI AVE, SAINT LOUIS, MO, 63110","-90.273084677274,38.614141292392","107594720","L"
